paper_id,title,abstract,date_published,url
346,On a conjecture related to geometric routing,,2004-07-16,https://www.semanticscholar.org/paper/90300646c319d9a798ab55a07562b17610c0e269,Theoretical Computer Science
3327,Population Dynamics of a Reintroduced Asiatic Wild Ass (Equus Hemionus) Herd,"Reintroduction is the release of animals into an area where they were extir- pated or have significantly declined. Little is known about the factors that determine the success or failure of ungulate reintroduction. We studied the dynamics of a reintroduced Asiatic wild ass (Equus hemionus) population for 10 yr (1983-1993) following the first successful release into the wild. A total of 14 adult females and 14 adult males were released into a nature reserve in the Negev Desert of southern Israel. Over this 10-yr span the female population has grown to only 16 adults. Reproductive success of reintroduced females was low in the first 5 yr following release (0.0-0.8 foals.female-l yr-'), but increased to 0.5- 1.0 foals-female-1'yr-' in the last 5 yr. Reproductive success of wild-born females -3 yr old was higher than that of reintroduced females of similar ages, and ranged from 0.5-1.0 foals female'-lyr-1. Our study and data from the E. hem.ionus studbook suggest that young nonprimiparous females produced primarily males, while primiparous and old females produced primarily females. We attribute the low reproductive success following reintro- duction to the stress caused by capture, transport, and release procedures; we consider the age-dependent progeny sex ratio within the framework of Trivers and Willard's (1973) maternal allocation hypothesis. We conclude that the slow growth of the female population was due to: (a) low reproductive success of females in the early years following reintro- duction, and (b) a male-skewed progeny sex ratio among prime-aged reintroduced females. A simple stochastic Leslie matrix model suggests that high survival and improved repro- ductive success of reintroduced females at later stages of the study, and the reproductive success of wild-born females, make the population relatively unsusceptible to extinction from random demographic processes. In-depth knowledge of the dynamics of reintroduced populations is vital for the correct assessment of their viability. We offer suggestions for increasing the efficacy of future wild ass reintroductions.",1995-05-01,https://www.semanticscholar.org/paper/2e4d8fa7ab4b38f37cca2b79fa34a54daa6c9f31,
2789,A monocyte-keratinocyte-derived co-culture assay accurately identifies efficacies of BET inhibitors as therapeutic candidates for psoriasiform dermatitis.,,2020-08-15,https://www.semanticscholar.org/paper/a564638f5a22aadcb253481962933351656294f7,Journal of dermatological science (Amsterdam)
3601,A concept design (Rev. 1),"We describe a design of “concepts” (a type system for types) for improved support of generic programming in C++. This paper presents a current best-effort design based on previous work followed by lengthy discussions of technical details. The design is based on the principles that simple things should be simple (whereas more advanced programming techniques may require some extra work), that there should be no performance degradation compared to current template techniques, and that essentially all current template techniques should be improved by the use of concepts. The design achieves perfect checking of separately compiled templates at the cost of minor restrictions on the instantiation mechanism.",,https://www.semanticscholar.org/paper/2fc5ef95c9c6286167552cf6a94c81f9cff0b4d7,
2158,"Neutrophils form extracellular traps in response to Opisthorchis viverrini crude antigens, which are elevated in neutrophils from opisthorchiasis patients with hepatobiliary abnormalities","ABSTRACT Opisthorchis viverrini (Ov) infection can cause several disease conditions of the bile duct including hepatobiliary abnormalities (HBAs) and the most severe, cholangiocarcinoma (CCA). Fibrosis occurs when tissues are damaged and normal wound-healing responses are dysregulated. Neutrophils are the first cells to migrate to an infection site to protect the host from intruding extracellular pathogens through a wide range of effector mechanisms such as phagocytosis, production of reactive oxygen species, proteases, or release of neutrophil extracellular traps (NETs). In this work, we used confocal microscopy to assess whether Ov crude antigens can cause release of NETs from neutrophils from Ov-free individuals. We demonstrated for the first time that these antigens could induce release of NETs ex vivo in a dose-dependent manner from neutrophils isolated from Ov-free individuals. Intriguingly, when we measured NETs from neutrophils isolated from Ov-infected patients, we found increased spontaneous production of NETs in patients with HBAs. Interestingly, exposure to Ov crude antigens lowered the level of NETs released by neutrophils from patients with active Ov infection regardless of HBA status. We propose that in the case of acute Ov infection, even when concentration of Ov antigens is relatively low, neutrophils can form NETs. However, when this infection becomes chronic, manifesting as a definite HBA, the levels of NET production are reduced when treated with Ov crude antigens. Excessive production of proinflammatory mediators from these NETs might have effects on the parasites, but may also lead to excessive injury of surrounding tissues resulting in HBAs and may lead eventually to the most severe complications such as CCA.",2023-07-26,https://www.semanticscholar.org/paper/14e5adb5f91f22d64b86845a001bc48fed8a98ce,Biology Open
764,Recursive Concurrent Stochastic Games,"We study Recursive Concurrent Stochastic Games (RCSGs), extending our recent analysis of recursive simple stochastic games [14, 15] to a concurrent setting where the two players choose moves simultaneously and independently at each state. For multi-exit games, our earlier work already showed undecidability for basic questions like termination, thus we focus on the important case of single-exit RCSGs (1-RCSGs) 
 
We first characterize the value of a 1-RCSG termination game as the least fixed point solution of a system of nonlinear minimax functional equations, and use it to show PSPACE decidability for the quantitative termination problem. We then give a strategy improvement technique, which we use to show that player 1 (maximizer) has e-optimal randomized Stackless & Memoryless (r-SM) strategies, while player 2 (minimizer) has optimal r-SM strategies. Thus, such games are r-SM-determined. These results mirror and generalize in a strong sense the randomized memoryless determinacy results for finite stochastic games, and extend the classic Hoffman-Karp [19] strategy improvement approach from the finite to an infinite state setting. The proofs in our infinite-state setting are very different however 
 
We show that our upper bounds, even for qualitative termination, can not be improved without a major breakthrough, by giving two reductions: first a P-time reduction from the long-standing square-root sum problem to the quantitative termination decision problem for finite concurrent stochastic games, and then a P-time reduction from the latter problem to the qualitative termination problem for 1-RCSGs",2006-07-10,https://www.semanticscholar.org/paper/aed9b30a7110548d71186b8c5c0ab86bb3c6a311,Log. Methods Comput. Sci.
2553,Content-aware layout,"We describe content-aware layout (CAL), a technique that automatically arranges windows on a user.s desktop. Unlike conventional window managers that automatically cascade or tile each window without regard to its content, CAL uses information about the contents of windows to help decide if and where they should be placed. We present the approach to designing CAL, as well as its implementation. We then conclude with a discussion about future work and CAL.s potential use in large display environments.",2007-04-28,https://www.semanticscholar.org/paper/17997b04f3c02db4d634fd2418812db0c2a22f92,CHI Extended Abstracts
174,Sex: The power of randomization.,,2019-10-01,https://www.semanticscholar.org/paper/9ffb06970cd9b71fe590e26fea287129b0477c3d,Theoretical Population Biology
2352,Inhibition of myeloperoxidase by salicylhydroxamic acid.,"Salicylhydroxamic acid inhibited the luminol-dependent chemiluminescence of human neutrophils stimulated by phorbol 12-myristate 13-acetate or the chemotactic peptide N-formylmethionyl-leucyl-phenylalanine (fMet-Leu-Phe). This compound had no inhibitory effect on the kinetics of O2.- generation or O2 uptake during the respiratory burst, but inhibited both the peroxidative activity of purified myeloperoxidase and the chemiluminescence generated by a cell-free myeloperoxidase/H2O2 system. The concentration of salicylhydroxamic acid necessary for complete inhibition of myeloperoxidase activity was 30-50 microM (I50 values of 3-5 microM) compared with the non-specific inhibitor NaN3, which exhibited maximal inhibition at 100-200 microM (I50 values of 30-50 microM). Whereas taurine inhibited the luminol chemiluminescence of an H2O2/HOC1 system by HOC1 scavenging, this compound had little effect on myeloperoxidase/H2O2-dependent luminol chemiluminescence; in contrast, 10 microM-salicylhydroxamic acid did not quench HOC1 significantly but greatly diminished myeloperoxidase/H2O2-dependent luminol chemiluminescence, indicating that its effects on myeloperoxidase chemiluminescence were largely due to peroxidase inhibition rather than non-specific HOC1 scavenging. Salicylhydroxamic acid prevented the formation of myeloperoxidase Compound II, but only at low H2O2 concentrations, suggesting that it may compete for the H2O2-binding site on the enzyme. These data suggest that salicylhydroxamic acid may be used as a potent inhibitor to delineate the function of myeloperoxidase in neutrophil-mediated inflammatory events.",1989-03-15,https://www.semanticscholar.org/paper/15d4ba3c7f1d0b738a97a74c8174a26771ef9da0,Biochemical Journal
3628,Language-technical aspects of reuse,"Reuse happens only when a variety of social conditions are favorable. However, social conditions, development processes, and design methods alone cannot guarantee success. In the end, working code must be produced, and at this stage programming languages and programming styles can make a critical difference. The paper focuses on C++ and its use because that's where the author's experience is, and because reuse in the abstract is a sterile exercise. To yield its obvious benefits, reuse must be practised. Reuse is a result of good design; it is not something you get from simple minded use of special language features. The paper presents examples of how designs of components for use in several contexts can be expressed directly and efficiently in C++. Concrete types, abstract classes, class hierarchies, and generic programming using templates are mentioned.",1996-04-23,https://www.semanticscholar.org/paper/80f17151348d458fef29b2b2a54c90381caeba1d,Proceedings of Fourth IEEE International Conference on Software Reuse
580,Two remarks on the power of counting,,1983-01-05,https://www.semanticscholar.org/paper/56c02b7ae0dbd215b0fc1cfd218ad544dc02ef7c,Theoretical Computer Science
