paper_id,title,abstract,date_published,url
2819,Galectins in regulation of apoptosis.,,2011-12-19,https://www.semanticscholar.org/paper/696005a293433b9ad15993ffe99ba0c165d53829,Advances in Experimental Medicine and Biology
3202,Global Marine Fishing across Space and Time,"Human health and livelihoods are threatened by declining marine fisheries catches, causing substantial interest in the sources and dynamics of fishing. Catch analyses in individual exclusive economic zones (EEZs) and the high seas are abundant, and research across multiple EEZs is growing. However, no previous studies have systematically compared catches, intranational versus international fish flows, and fishing nations within all of the world’s EEZs and across adjacent and distant EEZs and the high seas to inform “metacoupled” fisheries management. We use the metacoupling framework—a new approach for evaluating human–nature interactions within and across adjacent and distant systems (metacouplings)—to illustrate how fisheries catches were locally, regionally, and globally interconnected in 1950–2014, totaling 5.8 billion metric tons and increasing by 298% (tonnage) and 431% (monetary value) over this time period. Catches by nations in their own EEZs (largest in Peru) and adjacent EEZs (largest in Indonesia) constituted 86% of worldwide catches, growing in 1950–1996 but declining in 1997–2014. In contrast, catches in distant EEZs and the high seas—largest in Morocco, Mauritania, and Canada—peaked in 1973 and have since represented 9–21% of annual catches. Our 65-year, local–regional–global analysis illustrates how metacoupled fisheries governance—holistic management of multiscalar catches, flows, and tradeoffs within and among fisheries—can improve food and nutrition security, livelihood resilience, and biodiversity conservation across the world.",2020-06-01,https://www.semanticscholar.org/paper/07c4bf054e249e7f4a7d4caca62db7d82f7d0423,Sustainability
2289,Neutrophil infiltration into human gliomas,,1999-10-01,https://www.semanticscholar.org/paper/0cfb22ee9011ba4de118748fe03c18b095a384f5,Acta Neuropathologica
420,Planar map graphs,"We introduce and study a modi ed notion of planarity, in which two regions of a map are considered adjacent when they share any point of their boundaries (not an edge, as standard planarity requires). We seek to characterize the abstract graphs realized by such map adjacencies. We prove some preliminary properties of such graphs, and give a polynomial time algorithm for the following restricted problem: given an abstract graph, decide whether it is realized by a map in which at most four regions meet at any point. The general recognition problem remains open.",1998-05-23,https://www.semanticscholar.org/paper/53ba3ac19073a87241506b2202f98ad439a33c84,Symposium on the Theory of Computing
3174,Divergent water requirements partition exposure risk to parasites in wild equids,"Abstract For grazing herbivores, dung density in feeding areas is an important determinant of exposure risk to fecal‐orally transmitted parasites. When host species share the same parasite species, a nonrandom distribution of their cumulative dung density and/or nonrandom ranging and feeding behavior may skew exposure risk and the relative selection pressure parasites impose on each host. The arid‐adapted Grevy's zebra (Equus grevyi) can range more widely than the water‐dependent plains zebra (Equus quagga), with which it shares the same species of gastrointestinal nematodes. We studied how the spatial distribution of zebra dung relates to ranging and feeding behavior to assess parasite exposure risk in Grevy's and plains zebras at a site inhabited by both zebra species. We found that zebra dung density declined with distance from water, Grevy's zebra home ranges (excluding those of territorial males) were farther from water than those of plains zebras, and plains zebra grazing areas had higher dung density than random points while Grevy's zebra grazing areas did not, suggesting a greater exposure risk in plains zebras associated with their water dependence. Fecal egg counts increased with home range proximity to water for both species, but the response was stronger in plains zebras, indicating that this host species may be particularly vulnerable to the elevated exposure risk close to water. We further ran experiments on microclimatic effects on dung infectivity and showed that fewer nematode eggs embryonated in dung in the sun than in the shade. However, only 5% of the zebra dung on the landscape was in shade, indicating that the microclimatic effects of shade on the density of infective larvae is not a major influence on exposure risk dynamics. Ranging constraints based on water requirements appear to be key mediators of nematode parasite exposure in free‐ranging equids.",2022-02-01,https://www.semanticscholar.org/paper/3de4e95e82efd967b6bb87bd6656ae609ebdcb19,Ecology and Evolution
1900,Hybrid Particle Swarm Optimization Combined With Genetic Operators for Flexible Job-Shop Scheduling Under Uncertain Processing Time for Semiconductor Manufacturing,"Semiconductor manufacturing is a complicated flexible job-shop scheduling problem (FJSP) of combinatorial complexity. Because of the adoption of advanced process control and advanced equipment control, the processing time in advanced wafer fabs become uncertain. Existing approaches considering constant processing time may not be appropriate to address the present problem in a real setting. In practice, processing times can be represented as intervals with the most probable completion time somewhere near the middle of the interval. A fuzzy number that is a generalized interval can represent this processing time interval exactly and naturally. This paper developed a hybrid approach integrating a particle swarm optimization algorithm with a Cauchy distribution and genetic operators (HPSO+GA) for solving an FJSP by finding a job sequence that minimizes the makespan with uncertain processing time. In particular, the proposed hybridized HPSO+GA approach employs PSO for creating operation sequences and assigning the time and resources for each operation, and then uses genetic operators to update the particles for improving the solution. To estimate the validity of the proposed approaches, experiments were conducted to compare the proposed approach with conventional approaches. The results show the practical viability of this approach. This paper concludes with discussions of contributions and recommends directions for future research.",2018-02-01,https://www.semanticscholar.org/paper/22e3ff3ef15e892cc5edd3b493248a173fab5612,IEEE transactions on semiconductor manufacturing
50,Modeling and managing content changes in text databases,"Large amounts of (often valuable) information are stored in Web-accessible text databases. ""Metasearchers"" provide unified interfaces to query multiple such databases at once. For efficiency, metasearchers rely on succinct statistical summaries of the database contents to select the best databases for each query. So far, database selection research has largely assumed that databases are static, so the associated statistical summaries do not need to change over time. However, databases are rarely static and the statistical summaries that describe their contents need to be updated periodically to reflect content changes. In this paper, we first report the results of a study showing how the content summaries of 152 real Web databases evolved over a period of 52 weeks. Then, we show how to use ""survival analysis"" techniques in general, and Cox's proportional hazards regression in particular, to model database changes over time and predict when we should update each content summary. Finally, we exploit our change model to devise update schedules that keep the summaries up to date by contacting databases only when needed, and then we evaluate the quality of our schedules experimentally over real Web databases.",2005-04-05,https://www.semanticscholar.org/paper/09c86f8704518f3cf1d6e559128167be0cfbd6ac,IEEE International Conference on Data Engineering
2294,In vitro effects of GM-CSF on mature peripheral blood neutrophils.,"GM-CSF can play a crucial role in regulating the neutrophil-mediated inflammatory response. This growth factor is a proliferative stimulus for bone marrow neutrophil stem cell precursors and has at least 3 important roles in regulating neutrophil-mediated immunity: a) a direct effect on the proliferation and development of neutrophil progenitors; b) synergistic activity with other haemopoietic growth factors; c) stimulation of the functional activity of mature neutrophils. The production of GM-CSF may be triggered directly by exogenous factors such as antigens and endotoxins, or indirectly through the release of cytokines by a variety of cells including lymphocytes, activated macrophages and endothelial cells exposed to products of mononuclear phagocytes. Such production of GM-CSF may serve to quickly release mature neutrophils from the bone marrow in response to infections. Moreover, enhancement of the function of mature neutrophils may also augment their ability to migrate to infective sites and then phagocytose and kill pathogens. Increased expression of CD11b/CD18 may play a fundamental part in this mechanism because this receptor is essential for the adhesion of neutrophils to the endothelium. Both phagocytosis and oxidative burst activity increase as a result of the action of GM-CSF and the increased expression of complement- and Fc-receptors can augment opsono-phagocytosis. A further level of neutrophil up-regulation occurs by increasing the functional life span of neutrophils by GM-CSF. Thus, by delaying neutrophil apoptosis, GM-CSF greatly extends the time over which neutrophils may function at inflammatory sites. GM-CSF can thus exert a variety of important regulatory controls of neutrophil function during bacterial infections. Both the number and the functional status of neutrophils is highly regulated by GM-CSF. It is also possible that GM-CSF produced within localised sites of acute inflammation or infection may attract, trap and then activate neutrophils within this site.",1998-06-01,https://www.semanticscholar.org/paper/fd8abd62208bc0cdcee3ab2ec72717aad5fe36b9,International Journal of Molecular Medicine
3252,Disruption of a protective ant-plant mutualism by an invasive ant increases elephant damage to savanna trees.,"Invasive species can indirectly affect ecosystem processes via the disruption of mutualisms. The mutualism between the whistling thorn acacia (Acacia drepanolobium) and four species of symbiotic ants is an ecologically important one; ants strongly defend trees against elephants, which can otherwise have dramatic impacts on tree cover. In Laikipia, Kenya, the invasive big-headed ant (Pheidole megacephala) has established itself at numerous locations within the last 10-15 years. In invaded areas on five properties, we found that three species of symbiotic Crematogaster ants were virtually extirpated, whereas Tetraponera penzigi co-occurred with P. megacephala. T. penzigi appears to persist because of its nonaggressive behavior; in a whole-tree translocation experiment, Crematogaster defended host trees against P. megacephala, but were extirpated from trees within hours. In contrast, T. penzigi retreated into domatia and withstood invading ants for >30 days. In the field, the loss of defensive Crematogaster ants in invaded areas led to a five- to sevenfold increase in the number of trees catastrophically damaged by elephants compared to uninvaded areas. In savannas, tree cover drives many ecosystem processes and provides essential forage for many large mammal species; thus, the invasion of big-headed ants may strongly alter the dynamics and diversity of East Africa's whistling thorn savannas by disrupting this system's keystone acaciaant mutualism.",2015-03-01,https://www.semanticscholar.org/paper/162ac08f323a5af5e83975751be8caac932282d3,Ecology
3443,Speed scaling for weighted flow time,"In addition to the traditional goal of efficiently managing time and space, many computers now need to efficiently manage power usage. For example, Intel's SpeedStep and AMD's PowerNOW technologies allow the Windows XP operating system to dynamically change the speed of the processor to prolong battery life. In this setting, the operating system must not only have a job selection policy to determine which job to run, but also a speed scaling policy to determine the speed at which the job will be run. These policies must be online since the operating system does not in general have knowledge of the future. In current CMOS based processors, the speed satisfies the well known cube-root-rule, that the speed is approximately the cube root of the power [Mud01, BBS+00]. Thus, in this work, we make the standard generalization that the power is equal to speed to some power α ≥ 1, where one should think of α as being approximately 3 [YDS95, BKP04]. Energy is power integrated over time. The operating system is faced with a dual objective optimization problem as it both wants to conserve energy, and optimize some Quality of Service (QoS) measure of the resulting schedule.",2007-01-07,https://www.semanticscholar.org/paper/8a1664d7f0ec5591e7193966c1180526355bb291,ACM-SIAM Symposium on Discrete Algorithms
