public_id,public_id_type,paper_id
2940324456,MAG,3217
1123876,CorpusId,830
10.1126/SCIENCE.1099962,DOI,2266
2139385756,MAG,2977
10.1109/RTSS.2017.00039,DOI,3403
2072765980,MAG,685
1650670,CorpusId,687
26353240,PubMed,1746
2019443158,MAG,900
conf/siggraph/KohenEF21,DBLP,2419
2910202707,MAG,174
2119033610,MAG,1681
10.1101/136283,DOI,2945
10.5210/OJPHI.V10I1.8894,DOI,7
2538105,PubMed,2353
journals/iandc/EphremidisPS88,DBLP,541
10.1145/3318041.3355470,DOI,171
10.1109/ICCV48922.2021.00070,DOI,3716
10.1103/PhysRevLett.99.182001,DOI,1429
1990480988,MAG,626
10.1109/TCC.2021.3137881,DOI,1872
2084045362,MAG,2103
2886453691,MAG,1589
10.1145/502348.502363,DOI,2641
9403007,CorpusId,270
journals/jacm/LundY94,DBLP,832
10.1109/CAIA.1990.89202,DOI,2744
journals/ors/ChienG08,DBLP,2051
17190823,PubMed,3311
2035856397,MAG,2369
1527679949,MAG,2979
2212.07016,ArXiv,3689
conf/uai/RuizTB16,DBLP,1669
10.1186/s12886-017-0604-2,DOI,985
journals/usenix-login/AtlidakisAGMN16,DBLP,3030
10.1080/13675567.2022.2090528,DOI,1874
journals/sigecom/PapadimitriouP18,DBLP,168
2012.12265,ArXiv,3722
2399582135,MAG,2364
36744968,CorpusId,3652
2150715348,MAG,599
10.1109/VRW52623.2021.00234,DOI,2423
conf/ismar/SadriKESGLBF19,DBLP,2427
455205,CorpusId,564
10.1016/j.ajhg.2017.09.009,DOI,2940
conf/3dui/FernandesF16,DBLP,2462
1989230427,MAG,650
1412.7955,ArXiv,233
12383179,CorpusId,527
10.1007/BFb0036950,DOI,907
journals/talg/JezLSS12,DBLP,3420
10.1109/TRO.2017.2653810,DOI,1025
10.1145/2755573.2755592,DOI,3414
15233216,CorpusId,74
1638420,CorpusId,308
2022529231,MAG,2013
1727254,CorpusId,538
1580089,CorpusId,1732
conf/focs/YannakakisP80,DBLP,936
10.1167/iovs.61.11.13,DOI,965
10.1371/journal.pone.0209270,DOI,2184
2623327532,MAG,3751
10.4230/DagRep.8.3.1,DOI,3397
2098050560,MAG,2376
2055298790,MAG,828
1806.01384,ArXiv,710
39496116,CorpusId,746
1581217569,MAG,3647
H90-1086,ACL,2773
1618619778,MAG,2854
2156531947,MAG,2524
10.1145/1363686.1363734,DOI,3578
10.1136/ard.54.11.930,DOI,2314
2604151004,MAG,2447
2139000476,MAG,2731
10.1109/ICDE.2004.1319999,DOI,59
conf/sigmod/KungP79,DBLP,623
10.1145/3226552.3226570,DOI,2432
conf/sigecom/DaskalakisPT16,DBLP,208
235097238,CorpusId,1
10.1145/3249249,DOI,3121
conf/ismar/GuvenF06,DBLP,2568
250144405,CorpusId,1520
hep-ex/0607028,ArXiv,1302
10.2168/LMCS-4(4:8)2008,DOI,759
1811.01247,ArXiv,676
10.1103/PhysRevLett.96.011801,DOI,1361
2100647638,MAG,2645
journals/asc/ChienC21,DBLP,1879
14480194,CorpusId,3100
2212.00083,ArXiv,693
1601173,CorpusId,434
journals/presence/WebsterFKMK95,DBLP,2698
116806624,CorpusId,1912
32375934,CorpusId,2680
3796515,CorpusId,1638
conf/ismar/SandorKRFO09,DBLP,2540
journals/tc/CypherG94,DBLP,126
19357793,CorpusId,2795
10.1167/iovs.19-27363,DOI,972
10.4230/LIPIcs.ESA.2021.12,DOI,3382
32703308,PubMed,2783
2166877474,MAG,3606
conf/icmcs/PapadimitriouRR94,DBLP,469
2566839,CorpusId,3469
10549399,CorpusId,1769
conf/ipco/SteinW01,DBLP,3480
10.1002/J.1538-7305.1984.TB00061.X,DOI,3668
18196963,CorpusId,849
conf/uist/BellF00,DBLP,2653
189926599,CorpusId,3014
10.1145/568518.568519,DOI,75
8611971,CorpusId,330
16956924,CorpusId,3674
2212.04412,ArXiv,3704
10.4230/LIPIcs.FSTTCS.2019.21,DOI,704
10.1137/08072125X,DOI,3443
journals/jacm/DevanurPSV08,DBLP,296
journals/jcss/KleinbergPR03,DBLP,391
24088843,CorpusId,2357
11712300,CorpusId,1960
24275609,PubMed,3273
2040194491,MAG,867
conf/icml/NazaretB22,DBLP,1524
235363448,CorpusId,3709
journals/jacm/BleiGJ10,DBLP,1824
22061973,CorpusId,2845
