public_id,public_id_type,paper_id
conf/uist/HolzF09,DBLP,2539
11755081,CorpusId,3268
51929608,CorpusId,2440
2136210723,MAG,2650
753304,CorpusId,1751
10.3109/10715769009149902,DOI,2350
1995681368,MAG,446
10.1145/268998.266677,DOI,3155
10.1109/MCG.2000.888004,DOI,2651
2587019192,MAG,1224
10.1111/J.1574-6968.1992.TB05908.X,DOI,2343
2043615059,MAG,2054
journals/iandc/PapadimitriouY86,DBLP,888
11868155,CorpusId,3738
10.1016/j.scico.2009.04.002,DOI,3560
10.1109/ICCV48922.2021.00070,DOI,3716
2033796898,MAG,2688
2615768957,MAG,759
119092585,CorpusId,1073
1808.04486,ArXiv,3739
1992078470,MAG,2871
conf/approx/PruhsS10,DBLP,3424
1337004,CorpusId,2528
52799295,CorpusId,49
128360029,CorpusId,2182
10.1145/2043556.2043589,DOI,3048
235097376,CorpusId,3707
2246754230,MAG,2307
11079948,PubMed,2654
11952268,CorpusId,738
1767124,CorpusId,1150
10.1016/j.clim.2008.08.024,DOI,2835
2169738039,MAG,513
255908242,CorpusId,55
conf/cvpr/EpsteinCV20,DBLP,3733
10.1142/S1793351X10001000,DOI,3064
10.1109/ISMAR.2015.54,DOI,2467
conf/sosp/AndrusDHLN11,DBLP,3051
9443769,CorpusId,3523
conf/nips/TranRB17,DBLP,1623
20151713,CorpusId,1621
journals/jacm/PapadimitriouY82,DBLP,915
2514588652,MAG,2192
9668994,CorpusId,639
2027725119,MAG,354
10.1109/5.533956,DOI,821
14758074,PubMed,2867
1610.09033,ArXiv,1660
18203724,CorpusId,2681
91780987,CorpusId,2167
conf/fmcad/Papadimitriou16,DBLP,197
237610497,CorpusId,3195
2043686249,MAG,1767
conf/ipps/GravanoPDS92,DBLP,132
1610.04809,ArXiv,205
conf/ismar/KohenEF20,DBLP,2425
journals/jamia/WilcoxWPRBFSV16,DBLP,2449
10.1137/080720826,DOI,741
10.1109/CoASE.2014.6899391,DOI,1953
conf/stoc/PapadimitriouY88b,DBLP,868
2312487290,MAG,2237
10.1145/1040830.1040900,DOI,2579
2048517616,MAG,511
2908820335,MAG,1889
10.1016/0304-3975(95)80031-4,DOI,459
