paper_cited,paper_citing
1731,1
1544,1
2376,1
2120,1
1712,1
1524,1
854,1
2262,1
1977,1
63,1
1697,2
1668,2
1125,2
1639,2
2312,2
906,2
1499,2
2072,2
1147,2
2333,2
545,3
599,3
617,3
1612,3
494,3
1392,3
182,3
791,3
2198,3
1564,3
995,4
2212,4
1700,4
1032,4
525,4
1231,4
2415,4
1555,4
470,4
1052,4
1313,5
987,5
745,5
1706,5
1871,5
1394,5
595,5
1523,5
1657,5
1915,5
2368,6
1092,6
2310,6
200,6
393,6
683,6
1740,6
2221,6
412,6
158,6
1313,7
2277,7
2376,7
1001,7
1196,7
1912,7
1684,7
1720,7
2137,7
986,7
1856,8
1005,8
1774,8
525,8
1775,8
222,8
1717,8
1494,8
1213,8
2174,8
641,9
2338,9
1602,9
2053,9
1225,9
2251,9
2127,9
2068,9
1400,9
1913,9
168,10
75,10
268,10
2219,10
1422,10
1103,10
688,10
473,10
1052,10
2239,10
2305,11
738,11
1101,11
1934,11
720,11
755,11
148,11
1239,11
1594,11
2237,11
550,12
2246,12
1640,12
1421,12
430,12
241,12
1555,12
628,12
1943,12
31,12
546,13
1922,13
582,13
1789,13
1677,13
1521,13
275,13
570,13
1211,13
1373,13
2176,14
972,14
79,14
496,14
1520,14
369,14
1140,14
406,14
1366,14
1919,14
1697,15
1957,15
427,15
687,15
947,15
2038,15
1687,15
825,15
1883,15
573,15
2051,16
2339,16
455,16
1224,16
8,16
648,16
908,16
685,16
2254,16
2421,16
1538,17
2375,17
360,17
968,17
2096,17
2384,17
2225,17
1268,17
117,17
2362,17
1988,18
1958,18
616,18
1612,18
1294,18
82,18
947,18
1590,18
158,18
2206,18
1505,19
2154,19
1579,19
206,19
110,19
1841,19
1942,19
1400,19
761,19
2010,19
35,20
900,20
165,20
329,20
462,20
1807,20
2094,20
211,20
632,20
1402,20
162,21
963,21
2115,21
709,21
1670,21
962,21
297,21
1807,21
1914,21
2171,21
1600,22
323,22
935,22
1328,22
16,22
1171,22
1332,22
310,22
2363,22
1823,22
104,23
747,23
2193,23
1556,23
1557,23
55,23
1816,23
730,23
380,23
509,23
1249,24
419,24
519,24
456,24
1768,24
447,24
16,24
1077,24
1661,24
543,24
1797,25
485,25
2351,25
79,25
2001,25
753,25
2388,25
23,25
89,25
1467,25
2145,26
2049,26
1122,26
359,26
327,26
104,26
971,26
1292,26
1904,26
1684,26
263,27
1676,27
268,27
1011,27
86,27
342,27
568,27
2234,27
1021,27
1406,27
32,28
1697,28
2054,28
521,28
683,28
434,28
2039,28
377,28
1404,28
1310,28
2081,29
963,29
2153,29
490,29
204,29
852,29
245,29
986,29
1627,29
1566,29
1600,30
2305,30
2225,30
1106,30
1907,30
468,30
149,30
1173,30
285,30
1471,30
641,31
1473,31
1449,31
1996,31
109,31
1135,31
1655,31
824,31
2042,31
988,31
1664,32
971,32
1614,32
124,32
113,32
370,32
51,32
1911,32
956,32
574,32
1185,33
2402,33
2279,33
2063,33
1552,33
1616,33
1490,33
2359,33
314,33
1179,33
1408,34
608,34
1024,34
1897,34
1163,34
1196,34
1326,34
562,34
1113,34
2399,34
970,35
1742,35
879,35
752,35
1873,35
1711,35
85,35
247,35
1016,35
1883,35
450,36
891,36
868,36
1635,36
273,36
722,36
723,36
1848,36
571,36
1116,36
1092,37
329,37
521,37
2058,37
1899,37
941,37
2286,37
143,37
280,37
1018,37
2119,38
872,38
2151,38
1643,38
684,38
754,38
211,38
1170,38
21,38
1370,38
162,39
1930,39
2347,39
300,39
1651,39
788,39
1525,39
1428,39
2293,39
2202,39
2400,40
545,40
257,40
741,40
2442,40
1937,40
853,40
2326,40
1592,40
1435,40
226,41
996,41
1511,41
1962,41
2282,41
2158,41
1469,41
1109,41
925,41
511,41
1249,42
2179,42
1478,42
2246,42
265,42
818,42
980,42
599,42
378,42
1789,42
2407,43
1994,43
1547,43
2059,43
1965,43
1938,43
2069,43
1370,43
797,43
382,43
1985,44
289,44
2057,44
1675,44
2123,44
2126,44
2099,44
2167,44
2234,44
1309,44
736,45
772,45
2055,45
363,45
172,45
1355,45
756,45
1812,45
119,45
2424,45
2208,46
550,46
2351,46
1296,46
624,46
83,46
54,46
1687,46
1086,46
1854,46
2304,47
228,47
484,47
1992,47
266,47
2125,47
720,47
20,47
404,47
1822,47
1514,48
2414,48
655,48
656,48
818,48
1875,48
2006,48
440,48
1531,48
1662,48
449,49
809,49
1837,49
143,49
336,49
786,49
533,49
2329,49
1435,49
863,49
96,50
2404,50
2375,50
2184,50
488,50
1870,50
1623,50
1944,50
1370,50
574,50
2112,51
1569,51
131,51
902,51
1543,51
1497,51
1935,51
306,51
2393,51
1628,51
2081,52
1432,52
1094,52
172,52
1068,52
78,52
367,52
2003,52
2390,52
1176,52
1431,53
2340,53
1706,53
462,53
277,53
631,53
1785,53
2079,53
190,53
2303,53
2145,54
418,54
769,54
2177,54
2374,54
1102,54
2064,54
1106,54
825,54
381,54
418,55
2281,55
1067,55
2060,55
43,55
1263,55
466,55
754,55
1878,55
2295,55
1891,56
679,56
1735,56
10,56
974,56
917,56
1855,56
405,56
890,56
415,56
2210,57
1891,57
200,57
937,57
75,57
1904,57
944,57
535,57
221,57
543,57
165,58
455,58
2183,58
394,58
2026,58
1709,58
1490,58
2226,58
1715,58
95,58
1248,59
1293,59
1872,59
